tunis	manouba	Gabes	sfax	Mednine	Bizerte	Nabeul	tataouine	kairouan	monastir
0	10	409	273	489	69	70	536	164	172
10	0	415	280	495	68	76.58	542.2	169	177.5
409	415	0	142.9	77.5	442.7	331	124	213.7	275.7
273	280	142.9	0	219	337.6	226	265.5	137	144.3
489	495	77.5	219	0	523.7	412	52	304	356.55
69	68	442.7	337.6	523.7	0	136.7	603	229.2	237.7
70	76.58	331	226	412	136.7	0	491	144.67	126.4
536	542.2	124	265.5	52	603	491	0	341.14	403
164	169	213	137	304	229.2	144.67	341.14	0	75.4
172	177.5	275.7	144.3	365.55	237.7	126.4	403	75.4	0
